"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jul 19 09:20:14 UTC 2025","Sat Jul 19 09:20:15 UTC 2025","371","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"passed","Sat Jul 19 09:17:50 UTC 2025","Sat Jul 19 09:17:53 UTC 2025","3055","Booking Suite","All Tests","ui.HomePageTest","ui.HomePageTest","contactFormTest","contactFormTest","Contact form validation"
"passed","Sat Jul 19 09:20:25 UTC 2025","Sat Jul 19 09:20:25 UTC 2025","894","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","roomIsUnavailableAfterBookingTest","roomIsUnavailableAfterBookingTest","Create booking and verify it blocks the room on selected dates"
"passed","Sat Jul 19 09:20:15 UTC 2025","Sat Jul 19 09:20:16 UTC 2025","341","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"passed","Sat Jul 19 09:20:17 UTC 2025","Sat Jul 19 09:20:17 UTC 2025","344","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"passed","Sat Jul 19 09:17:25 UTC 2025","Sat Jul 19 09:17:26 UTC 2025","725","Booking Suite","All Tests","ui.HomePageTest","ui.HomePageTest","checkAvailabilityBtnLeadToRoomsTest","checkAvailabilityBtnLeadToRoomsTest","Check Availability button leads to Rooms section validation"
"passed","Sat Jul 19 09:20:26 UTC 2025","Sat Jul 19 09:20:26 UTC 2025","341","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","specialCharactersInNamesTest","specialCharactersInNamesTest",""
"passed","Sat Jul 19 09:20:20 UTC 2025","Sat Jul 19 09:20:20 UTC 2025","363","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"passed","Sat Jul 19 09:20:15 UTC 2025","Sat Jul 19 09:20:15 UTC 2025","385","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","apiBookingValidationTest","apiBookingValidationTest","Reservation form validation"
"failed","Sat Jul 19 09:18:22 UTC 2025","Sat Jul 19 09:18:29 UTC 2025","6406","Booking Suite","All Tests","ui.HomePageTest","ui.HomePageTest","invalidBookingDatesShouldDisableBooking","invalidBookingDatesShouldDisableBooking","BUG: Form submits with invalid Check In/Out dates"
"passed","Sat Jul 19 09:20:26 UTC 2025","Sat Jul 19 09:20:27 UTC 2025","342","Booking Suite","All Tests","api.BookingApiTest","api.BookingApiTest","specialCharactersInNamesTest","specialCharactersInNamesTest",""
